"Block","Phase","Trial","RunningTime","Cue","Image","CorrResp","Resp","Accuracy","ISI","RT_from_CueOnset","ITI","subID"
1,2,128,382.29,2,2,2,2,1,8,0.59,1.5,2
1,2,129,396.05,4,4,4,4,1,4,1.55,1.5,2
1,2,130,405.84,4,3,3,4,0,6,1.17,2.5,2
1,2,131,418.61,2,2,2,2,1,6,0.81,1.5,2
1,2,132,430.37,2,1,1,2,0,8,1.07,3.5,2
1,2,133,446.14,1,1,1,1,1,8,0.83,3.5,2
1,2,134,461.91,1,1,1,1,1,4,1.53,6.5,2
1,2,135,476.68,3,4,4,3,0,6,1.7,1.5,2
1,2,136,488.44,2,2,2,2,1,4,1.78,4.5,2
1,2,137,501.21,2,2,2,2,1,4,0.82,1.5,2
1,2,138,511,4,4,4,4,1,6,1.68,5.5,2
1,2,139,526.76,4,4,4,4,1,8,1.11,0.5,2
1,2,140,539.53,3,4,4,3,0,4,0.82,0.5,2
1,2,141,548.31,3,3,3,3,1,6,0.85,3.5,2
1,2,142,562.1,2,2,2,2,1,6,8.23,0.5,2
1,2,143,572.87,3,3,3,3,1,6,0.96,3.5,2
1,2,144,586.63,1,1,1,1,1,6,0.73,2.5,2
1,2,145,599.4,2,2,2,2,1,4,0.75,0.5,2
1,2,146,608.19,4,4,4,4,1,6,0.92,4.5,2
1,2,147,622.95,1,1,1,1,1,4,5.74,8,2
1,2,148,639.22,3,4,4,3,0,4,0.81,3.5,2
1,2,149,650.99,1,1,1,1,1,6,0.95,6.5,2
1,2,150,667.76,1,1,1,1,1,4,1.43,7.5,2
1,2,151,683.52,1,1,1,1,1,4,6.5,3.5,2
1,2,152,695.29,2,2,2,2,1,8,9.71,1.5,2
1,2,153,709.06,3,4,4,3,0,8,0.81,6.5,2
1,2,154,727.83,3,4,4,3,0,6,8.54,6.5,2
1,2,155,744.59,4,4,4,4,1,6,7.87,0.5,2
1,2,156,755.36,3,4,4,3,0,8,9.97,4.5,2
1,2,157,772.13,2,2,2,2,1,8,1.49,0.5,2
1,2,158,784.9,2,1,1,2,0,6,1.39,3.5,2
1,2,159,798.67,4,3,3,4,0,4,2.06,5.5,2
1,2,160,812.43,4,4,4,3,0,8,1,8,2
1,2,161,832.7,3,3,3,3,1,4,6.07,1.5,2
1,2,162,842.48,4,4,4,4,1,4,5.47,1.5,2
1,2,163,852.27,2,2,2,2,1,8,0.81,0.5,2
1,2,164,865.04,1,2,2,1,0,4,0.73,3.5,2
1,2,165,876.8,2,2,2,2,1,6,0.92,0.5,2
1,2,166,887.59,4,3,3,4,0,6,1.69,3.5,2
1,2,167,901.36,3,3,3,3,1,6,1.51,1.5,2
1,2,168,913.12,4,4,4,4,1,8,0.87,0.5,2
1,2,169,925.89,1,2,2,1,0,6,0.62,0.5,2
1,2,170,936.66,1,1,1,2,0,4,1.09,0.5,2
1,2,171,945.44,1,1,1,1,1,8,0.98,3.5,2
1,2,172,961.21,3,4,4,3,0,8,0.78,4.5,2
1,2,173,977.98,2,1,1,2,0,4,0.76,0.5,2
1,2,174,986.76,1,1,1,1,1,6,0.81,3.5,2
1,2,175,1000.53,4,3,3,4,0,4,1.46,1.5,2
1,2,176,1010.3,1,1,1,1,1,4,5.47,1.5,2
