subID,RT,faceChoice,carChoice,faceCorrect,carCorrect,cueIdx,coh1,coh2,stimOnsetTime,respTime,timeout,accuracy
1,517,0,1,0,1,1,0,1,542909,543426,0,1
1,550,0,1,0,1,1,1,0,546091,546641,0,1
1,700,1,0,1,0,0,1,0,549240,549940,0,1
1,733,1,0,1,0,0,0,1,552473,553206,0,1
1,683,0,1,0,1,1,1,0,615769,616452,0,1
1,550,1,0,1,0,2,1,0,619034,619584,0,1
1,634,0,1,0,1,1,1,0,622616,623250,0,1
1,633,0,1,0,1,0,0,1,625815,626448,0,1
1,616,0,1,0,1,0,0,1,629331,629947,0,1
1,983,0,1,0,1,2,0,1,632563,633546,0,1
1,816,1,0,1,0,0,1,0,636512,637328,0,1
1,733,1,0,1,0,0,0,1,640127,640860,0,1
1,650,0,1,1,0,0,0,1,643743,644393,0,0
1,633,1,0,1,0,2,0,1,646925,647558,0,1
1,617,0,1,0,1,1,1,0,650307,650924,0,1
1,617,1,0,1,0,2,1,0,653906,654523,0,1
1,1017,0,1,0,1,2,1,0,657488,658505,0,1
1,633,0,1,0,1,1,0,1,661520,662153,0,1
1,650,1,0,1,0,2,1,0,665102,665752,0,1
1,617,1,0,1,0,2,1,0,668401,669018,0,1
1,933,1,0,1,0,0,0,1,671884,672817,0,1
1,600,0,1,0,1,1,1,0,675699,676299,0,1
1,650,0,1,0,1,0,0,1,678848,679498,0,1
1,666,1,0,1,0,0,0,1,682497,683163,0,1
1,616,0,1,0,1,0,1,0,685929,686545,0,1
1,733,0,1,1,0,0,1,0,689078,689811,0,0
1,783,1,0,1,0,0,1,0,692727,693510,0,1
1,867,1,0,1,0,2,1,0,696092,696959,0,1
1,883,1,0,1,0,1,1,0,699891,700774,0,1
1,633,1,0,1,0,2,0,1,703390,704023,0,1
1,617,0,1,0,1,1,0,1,707022,707639,0,1
1,933,1,0,1,0,0,1,0,710238,711171,0,1
1,766,0,1,0,1,1,1,0,713920,714686,0,1
1,800,0,1,0,1,1,0,1,717702,718502,0,1
1,716,0,1,0,1,1,1,0,721501,722217,0,1
1,717,1,0,1,0,2,1,0,724949,725666,0,1
